id	dims	cluster_neighbors	resolution	umap_neighbors	min_dist	iterations	trial
1	20	25	0.4	30	0.2	250	1
2	20	25	0.4	30	0.2	250	2
3	20	25	0.4	30	0.2	250	3
4	20	25	0.4	30	0.2	250	4
5	20	25	0.4	30	0.2	250	5
6	20	25	0.4	30	0.2	500	1
7	20	25	0.4	30	0.2	500	2
8	20	25	0.4	30	0.2	500	3
9	20	25	0.4	30	0.2	500	4
10	20	25	0.4	30	0.2	500	5
11	20	25	0.4	30	0.3	250	1
12	20	25	0.4	30	0.3	250	2
13	20	25	0.4	30	0.3	250	3
14	20	25	0.4	30	0.3	250	4
15	20	25	0.4	30	0.3	250	5
16	20	25	0.4	30	0.3	500	1
17	20	25	0.4	30	0.3	500	2
18	20	25	0.4	30	0.3	500	3
19	20	25	0.4	30	0.3	500	4
20	20	25	0.4	30	0.3	500	5
21	20	25	0.4	30	0.4	250	1
22	20	25	0.4	30	0.4	250	2
23	20	25	0.4	30	0.4	250	3
24	20	25	0.4	30	0.4	250	4
25	20	25	0.4	30	0.4	250	5
26	20	25	0.4	30	0.4	500	1
27	20	25	0.4	30	0.4	500	2
28	20	25	0.4	30	0.4	500	3
29	20	25	0.4	30	0.4	500	4
30	20	25	0.4	30	0.4	500	5
31	20	25	0.4	50	0.2	250	1
32	20	25	0.4	50	0.2	250	2
33	20	25	0.4	50	0.2	250	3
34	20	25	0.4	50	0.2	250	4
35	20	25	0.4	50	0.2	250	5
36	20	25	0.4	50	0.2	500	1
37	20	25	0.4	50	0.2	500	2
38	20	25	0.4	50	0.2	500	3
39	20	25	0.4	50	0.2	500	4
40	20	25	0.4	50	0.2	500	5
41	20	25	0.4	50	0.3	250	1
42	20	25	0.4	50	0.3	250	2
43	20	25	0.4	50	0.3	250	3
44	20	25	0.4	50	0.3	250	4
45	20	25	0.4	50	0.3	250	5
46	20	25	0.4	50	0.3	500	1
47	20	25	0.4	50	0.3	500	2
48	20	25	0.4	50	0.3	500	3
49	20	25	0.4	50	0.3	500	4
50	20	25	0.4	50	0.3	500	5
51	20	25	0.4	50	0.4	250	1
52	20	25	0.4	50	0.4	250	2
53	20	25	0.4	50	0.4	250	3
54	20	25	0.4	50	0.4	250	4
55	20	25	0.4	50	0.4	250	5
56	20	25	0.4	50	0.4	500	1
57	20	25	0.4	50	0.4	500	2
58	20	25	0.4	50	0.4	500	3
59	20	25	0.4	50	0.4	500	4
60	20	25	0.4	50	0.4	500	5
61	20	25	0.4	100	0.2	250	1
62	20	25	0.4	100	0.2	250	2
63	20	25	0.4	100	0.2	250	3
64	20	25	0.4	100	0.2	250	4
65	20	25	0.4	100	0.2	250	5
66	20	25	0.4	100	0.2	500	1
67	20	25	0.4	100	0.2	500	2
68	20	25	0.4	100	0.2	500	3
69	20	25	0.4	100	0.2	500	4
70	20	25	0.4	100	0.2	500	5
71	20	25	0.4	100	0.3	250	1
72	20	25	0.4	100	0.3	250	2
73	20	25	0.4	100	0.3	250	3
74	20	25	0.4	100	0.3	250	4
75	20	25	0.4	100	0.3	250	5
76	20	25	0.4	100	0.3	500	1
77	20	25	0.4	100	0.3	500	2
78	20	25	0.4	100	0.3	500	3
79	20	25	0.4	100	0.3	500	4
80	20	25	0.4	100	0.3	500	5
81	20	25	0.4	100	0.4	250	1
82	20	25	0.4	100	0.4	250	2
83	20	25	0.4	100	0.4	250	3
84	20	25	0.4	100	0.4	250	4
85	20	25	0.4	100	0.4	250	5
86	20	25	0.4	100	0.4	500	1
87	20	25	0.4	100	0.4	500	2
88	20	25	0.4	100	0.4	500	3
89	20	25	0.4	100	0.4	500	4
90	20	25	0.4	100	0.4	500	5
91	30	25	0.4	30	0.2	250	1
92	30	25	0.4	30	0.2	250	2
93	30	25	0.4	30	0.2	250	3
94	30	25	0.4	30	0.2	250	4
95	30	25	0.4	30	0.2	250	5
96	30	25	0.4	30	0.2	500	1
97	30	25	0.4	30	0.2	500	2
98	30	25	0.4	30	0.2	500	3
99	30	25	0.4	30	0.2	500	4
100	30	25	0.4	30	0.2	500	5
101	30	25	0.4	30	0.3	250	1
102	30	25	0.4	30	0.3	250	2
